name,image_url,product_url,cost_price,price,category_name,reviews,stars,is_best_seller,quantity
"ATSAMFR 8 Pack 8""x20'(4Rolls) and 11""x20'(4Rolls) Vacuum Sealer Food Saver Bags Rolls with BPA Free,Heavy Duty,Great for Vac Storage or Sous Vide Cooking",https://m.media-amazon.com/images/I/61JIKRdhF5L._AC_UY218_.jpg,https://www.amazon.ca/dp/B088ZQHQV1,49.99,59.988,Small Appliances,2047,4.5,FALSE,0
"Linen Blackout Curtains 108 Inches Long 100% Total Blackout Heavy-Duty Draperies for Living Room Bedroom Thermal Insulated Textured Functional Window Treatment Anti Rust Grommet, 2 Panels, Natural",https://m.media-amazon.com/images/I/71p0FbAFbCL._AC_UY218_.jpg,https://www.amazon.ca/dp/B07GW3QDWH,70.99,85.188,Home Textiles,3295,4.5,FALSE,0
"Kokorona Cordless Roller Shades Blackout Roller Blinds for Windows, Free-Stop Window Shades Thermal Insulated UV Protection Fabric Privacy Saving Energy Roller Shades for Home, Grey, 22"" W X 72"" H",https://m.media-amazon.com/images/I/61+iypuT-pL._AC_UY218_.jpg,https://www.amazon.ca/dp/B0B49718Q4,51.99,62.388,Home Textiles,50,4.5,FALSE,0
"Bare Home Duvet Cover King/Cal King Size - Premium 1800 Super Soft Duvet Covers Collection - Lightweight, Cooling Duvet Cover - Soft Textured Bedding Duvet Cover (King/Cal King, Sand)",https://m.media-amazon.com/images/I/91hRseiRXvL._AC_UY218_.jpg,https://www.amazon.ca/dp/B01MRXJ9Y9,53.99,62.99,Home Textiles,6260,4.4,TRUE,7
"Qisu Alpaca Wool Blanket Throw | Large, Beautiful, Warm, Variegated | 85 x 65 inches | Ultra-Soft, Hypoallergenic and Breathable | Non-Itchy or Scratchy Fabric (Brown Blue Grey White)",https://m.media-amazon.com/images/I/81R7hlO7V3L._AC_UY218_.jpg,https://www.amazon.ca/dp/B07Q4SBQVT,202.58,243.096,Home Textiles,623,4.4,FALSE,22
"Bare Home Super Soft Fleece Sheet Set - Queen Size - Extra Plush Polar Fleece, Pill-Resistant Bed Sheets - All Season Cozy Warmth, Breathable & Hypoallergenic (Queen, Light Blue)",https://m.media-amazon.com/images/I/81kidUkqVCL._AC_UY218_.jpg,https://www.amazon.ca/dp/B078WFYSPT,64.99,74.99,Home Textiles,11087,4.6,FALSE,100
"EUREKA Mighty Mite 3670G Corded Canister Vacuum Cleaner Bagged for Carpets and Hard floors,Pet,Yellow w/ 2 Dust Bags",https://m.media-amazon.com/images/I/610x6pW3YlL._AC_UY218_.jpg,https://www.amazon.ca/dp/B00002N8CX,230.21,276.252,Vacuums  Floor Care,21693,4.3,FALSE,50
"Vacuum Cleaner Floor Care Replacement Parts Kit Compatible With ECOVACS DEEBOT X1 Omni / X1TURBO / X1 Plus Robot Vacuum Cleaner, 5 Dust Bags, 4 Mop Cloth Pads, 2 Hepa Filters, 8 Side Brushes(19pcs)…",https://m.media-amazon.com/images/I/718j+YXZzeL._AC_UY218_.jpg,https://www.amazon.ca/dp/B0B2RKMTLQ,33.99,40.788,Vacuums  Floor Care,12,4.4,FALSE,50
"Mop Cloth,4pcs Mop Cloths Replacement Fit for Ecovacs Deebot Ozmo 930/610 Robotic Vacuum Cleaner Floor Care Replacement Parts",https://m.media-amazon.com/images/I/51X8CVp-0UL._AC_UY218_.jpg,https://www.amazon.ca/dp/B08DTN14V3,9.75,11.7,Vacuums  Floor Care,4,5,FALSE,22
"Robot Vacuum and Mop,4500pa,Auto Robotic Vacuum Cleaner, Self-Charging,Ultra Thin Robot for Pet Hair, Smart App Control, Work with Alexa,180 Min Runtime 2 Year Warranty & Local Service(G20 Pro)",https://m.media-amazon.com/images/I/81hpJs97BsL._AC_UY218_.jpg,https://www.amazon.ca/dp/B0BZPK2N1G,299.99,329.99,Vacuums  Floor Care,823,4.7,FALSE,800
"Laresar Robot Vacuums and Mop Combo,4500Pa Suction, Mop with Smart Dynamic Navigation, Self-Charging, App&Remote&Voice Control, Super-Slim, Ideal for Pet Hair and Carpets, Hard Floor, Evol 3",https://m.media-amazon.com/images/I/81+YcczjnSL._AC_UY218_.jpg,https://www.amazon.ca/dp/B0BRQ77Y6H,295.99,355.188,Vacuums  Floor Care,476,4.5,FALSE,900
"AERLANG Massage Gun,Percussion Massage Gun, Upgrade Muscle Handheld Deep Tissue Massager (Black)-– Six Different Adjustable Heads for Different Muscle Groups - 20 Speed Option",https://m.media-amazon.com/images/I/61-r-PZINCL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BR2D181Y,39.99,47.988,Wellness,8301,4.3,TRUE,40
"Muscle Massage Gun Deep Tissue Percussion Massager - Handheld Electric Body Massagers Sports Drill for Athletes Pain Relief&Relax, Super Quiet Motor Cordless,20 Speed Level, Wattne W2 Black",https://m.media-amazon.com/images/I/61tCaHhNMfL._AC_UL320_.jpg,https://www.amazon.ca/dp/B082Y114TB,89.99,139.99,Wellness,16138,4.5,TRUE,3000
"Gua Sha Facial Tool, Stainless Steel Guasha Scraping Massage Tool, Lymphatic Drainage Massage Scraper for Face, Eyes, Neck, Body",https://m.media-amazon.com/images/I/51tn50JNJlL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09RZN4Y7L,10.99,13.188,Wellness,467,4.7,FALSE,2000
"Shiatsu Neck and Shoulder Massager, Back Massager with Heat - Gift for Women/men/Mom/Dad - Deeper Tissue 4D Kneading Massage for Shoulder, Neck and Back, Use at Home, Office, Car",https://m.media-amazon.com/images/I/91MwqDsfA7L._AC_UL320_.jpg,https://www.amazon.ca/dp/B094C8KT3R,69.97,89.99,Wellness,3907,4.4,FALSE,100
"Massage Gun - Muscle Massage Gun Deep Tissue, Percussion Quiet Portable Electric Sport Massager for Back Pain, Upgrade Handheld Massager of Y8 Pro Max-15 Heads (Black)",https://m.media-amazon.com/images/I/712NLcnvc5L._AC_UL320_.jpg,https://www.amazon.ca/dp/B0C5HTGQSJ,89.99,99.99,Wellness,16274,4.5,FALSE,2000
R V Essential Pure Bay Laurel Leaf Essential Oil 10ml (0.338oz)- Laurus Nobilis (100% Pure and Natural Therapeutic Grade),https://m.media-amazon.com/images/I/61zWCZZYsWL._AC_UL320_.jpg,https://www.amazon.ca/dp/B071RZTR5B,9.61,11.532,Wellness,18,3.9,FALSE,4
"Black Currant Seed Oil Organic 15% GLA Cold Pressed Premium Fresh 100% Pure 4 oz, 118 ml",https://m.media-amazon.com/images/I/61x5-x75tcL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01LXU8A0O,25.79,30.948,Wellness,1,5,FALSE,51
Barnhouse - 30ml - Baby Powder - Premium Grade Fragrance Oil,https://m.media-amazon.com/images/I/41OguPekp2L._AC_UL320_.jpg,https://www.amazon.ca/dp/B01GBOELIK,11.44,13.728,Wellness,70,4.5,FALSE,30
Gifts for Women USB Rechargeable 10 Modes Powerful Tongue Suck & Thrust Sucker G S-po-t C-L-i-t Stimulation Sucking Toys for Women Couples Waterproof -LZ15176138,https://m.media-amazon.com/images/I/51rDY87D3zL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0CKLGLRGG,37.68,45.216,Wellness,0,0,FALSE,23
"Logitech M240 Silent Bluetooth Mouse, Wireless, Compact, Portable, Smooth Tracking, 18-Month Battery, for Windows, macOS, ChromeOS, Compatible with PC, Mac, Laptop, Tablets - Graphite",https://m.media-amazon.com/images/I/51+zmcWK3cL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BXNR9DB6,29.99,35.988,Computer Accessories,21732,4.6,FALSE,31
"Gooseneck Tablet Holder Stand for Bed: Tryone Adjustable Flexible Arm Tablets Mount Clamp on Table Compatible with iPad Air Mini | Galaxy Tabs | Kindle Fire | Switch or Other 4.7-10.5"" Devices(Black)",https://m.media-amazon.com/images/I/61pnnei-pAL._AC_UL320_.jpg,https://www.amazon.ca/dp/B01BXRDH08,29.99,36.99,Computer Accessories,3128,4.1,FALSE,40
"XP-PEN Artist13.3 Pro 13.3 Inch IPS Drawing Monitors Pen Display Full-Laminated Graphics Drawing Monitor with Tilt Function and 8 Shortcut Keys (8192 Levels Pen Pressure, 123% sRGB)",https://m.media-amazon.com/images/I/717XUate+mL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07VPHR6GD,399.99,479.988,Computer Accessories,2246,4.5,FALSE,96
"HyperX Wrist Rest – Tenkeyless – Cooling Gel – Memory Foam – Anti-Slip, Black",https://m.media-amazon.com/images/I/51tN0wh4DlL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09SGS3X7W,14.99,24.99,Computer Accessories,201,4.6,FALSE,200
"Coffee and Tea Coffee Mug Warmer for Desk with Auto On/Off Gravity-inductio Control, Five Temperature Adjustable, Electric Beverage Warmer with Auto Power Off Protection, Ideal for Heating",https://m.media-amazon.com/images/I/51M1qraBjQL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08K8PGL15,32.99,39.588,USB Gadgets,323,4.4,FALSE,11
Ariskey Coffee Mug Warmer with Spoon Auto Shut Off Beverage Warmer Electric Thermostatic Smart Cup Warmer Pad for Office and Home Cocoa Tea Water Milk Soup (Up to 131F℉/55℃) with Leave Coffee Spoon,https://m.media-amazon.com/images/I/51cTxuW33-L._AC_UL320_.jpg,https://www.amazon.ca/dp/B0836YW4SZ,15.99,16.99,USB Gadgets,514,4.1,FALSE,3
"VOBAGA Imitation Wood Grain Coffee Cup & Mug Warmer For Desk,3.5"" Diameter Electric Cup Beverage Warmer Plate With 3 Adjustable Temperature (Up to 150℉/65℃) For Tea,Water,Cocoa,Milk, Soup",https://m.media-amazon.com/images/I/711+v+6DTCL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07HCJL6L7,39.73,47.676,USB Gadgets,693,4.3,FALSE,93
"Portable Neck Fan with Unique Back Motor, Bladeless Rechargeable Neck Cooler for Women, Leafless Hanging Neck Fans with 3 Speeds, 4000 mAh Personal Air Conditioner, USB, Battery Operated Sports Fan",https://m.media-amazon.com/images/I/61p-mkyz78S._AC_UL320_.jpg,https://www.amazon.ca/dp/B093FW25Q4,49.99,59.988,USB Gadgets,1329,4.2,FALSE,50
"LEMOISTAR Small Desk Fan USB Powered Portable Fan 4 Speeds Strong Airflow Mini Fan 310°Rotation Personal Fan, Quiet Operation Table Fan for Desktop Home Office Bedroom Car(Light Blue)",https://m.media-amazon.com/images/I/716TCC9iK0L._AC_UL320_.jpg,https://www.amazon.ca/dp/B08P5N6GT2,18.99,20.99,USB Gadgets,3388,4.2,FALSE,26
"SUPCASE Unicorn Beetle Pro Series Case for Galaxy Tab A7 Lite 8.7 Inch (2021 Release), with Built-in Screen Protector Full-Body Rugged Heavy Duty Case (Black)",https://m.media-amazon.com/images/I/71cRNXrAslL._AC_UL320_.jpg,https://www.amazon.ca/dp/B09B25NL6B,37.99,45.588,Tablet Accessories,548,4.6,FALSE,51
"FeiyueTech Black iPad 5 2017 (A1822, A1823) Touch Screen Digitizer Replacement Front Glass Assembly -Includes Home Button + Camera Holder+PreInstalled Adhesive with Tools kit.",https://m.media-amazon.com/images/I/61x8lE06KqL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07PZL5R7P,29.98,35.976,Tablet Accessories,139,3.7,FALSE,50
SUPCASE [UB PRO Series] Full-Body Kickstand Rugged Protective Case for Surface Pro 7/Pro 6 Case Microsoft Surface Pro 7/Pro 6/Pro 5/Pro 4/Pro LTE (Black),https://m.media-amazon.com/images/I/61-bcSfOh+S._AC_UL320_.jpg,https://www.amazon.ca/dp/B07SZCG8R2,37.99,45.588,Tablet Accessories,2825,4.4,FALSE,0
"AUAUA Case for iPad 9th Generation 2021, iPad 8th Generation, iPad 7th Generation with Pencil Holder, Vegan Leather, Auto Sleep/Wake Smart Cover for iPad 10.2 Inch (Brown)",https://m.media-amazon.com/images/I/91DEoqTWkDL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08Z32Z67T,42.9,51.48,Tablet Accessories,303,4.7,FALSE,21
"CLARKCAS Case for Samsung Galaxy Tab A7 10.4 Inch 2020, Full Body Cover with 360 Swivel Hand Strap Single Shoulder Strap Heavy Duty Shockproof Case for Samsung A7 Tablet SM-T500/T505/T507, Purple",https://m.media-amazon.com/images/I/61hvLyVZNyL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08L5XTWQB,32.99,39.588,Tablet Accessories,109,4.4,FALSE,60
"Amazon Basics Buffing Pad Kit - 6.5-Inch, 3-Pack",https://m.media-amazon.com/images/I/61wv+QvEldL._AC_UL320_.jpg,https://www.amazon.ca/dp/B08P4PPXV6,25.94,31.128,Automotive Care,77,4.6,FALSE,38
Eastwood Flexible Insulated Waterproof Brush on Seam Sealer Floor Trunk Fender 30.4 oz,https://m.media-amazon.com/images/I/51TyrSOaDxL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07Q5BFJVV,49.95,59.94,Automotive Care,111,4.7,FALSE,30
"Car Wool Polishing Pad Auto Woolen Buffing Waxing Pad Polisher Buffer(7"")",https://m.media-amazon.com/images/I/61fup4CDaDL._AC_UL320_.jpg,https://www.amazon.ca/dp/B07G6ZHL84,15.29,18.348,Automotive Care,21,4,FALSE,37
Spigen One-Touch Hidden Storage Box(Carbon Edition) Designed for Tesla Model 3/Y Center Console Organizer Armrest 2023/2022,https://m.media-amazon.com/images/I/51JRbAbWIqL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0B459LGWR,31.99,38.388,"Paint, Body  Trim Products",1960,4.7,TRUE,100
"BYNIIUR 88 Pcs Trim Removal Tool,Auto Push Pin Bumper Retainer Clip Set Fastener Terminal Remover Tool Adhesive Cable Clips Pry Kit Car Panel Radio Removal Auto Clip Pliers, Blue",https://m.media-amazon.com/images/I/71WvGFbdtbL._AC_UL320_.jpg,https://www.amazon.ca/dp/B085XSSR88,35.99,43.188,"Paint, Body  Trim Products",5875,4.7,FALSE,100
Car Push Retainer Clips 750PCS with 16Most Popular Push Pins for Automotive Parts Sizes Auto Push Pin Screw Clips with Blue Fastener Remover Tool for Toyota GM Ford Honda Acura Chrysler,https://m.media-amazon.com/images/I/71m1KOlUQ+L._AC_UL320_.jpg,https://www.amazon.ca/dp/B09JC57Z43,23.99,28.788,"Paint, Body  Trim Products",159,4.4,FALSE,50
